ID,RAW,Translate,
83,Usko jaldi se jaldi thik hona chahiye,He should recover quickly,
84,Mujhe yakeen hai tum achche ho,I trust that you are good,
85,Tum mere liye bahut important ho,You are very important to me,
86,Main uski help karne jaa raha hoon,I am going to help him,
87,Tumne mujhse bahut pyaar kiya hai,You have loved me a lot,
88,Wo mere liye bahut choti si cheez hai,He is a very small thing for me,
89,Main tumhari sahayata karne aaya hoon,I came to help you,
90,Tumse baat karne ke baad mujhe bahut achcha laga,I felt very good after talking to you,
91,Main apne ghar ki taraf ja raha hoon,I am going towards my home,
92,Uski aawaz bahut sundar hai,Her voice is very beautiful,
93,Tumne mujhe kabhi dhoka nahi diya,You never betrayed me,
94,Wo mere liye bahut khaas hai,He is very special for me,
95,Tumhe mere saath bahut pyaar hai,You love me very much,
96,Main aaj apne doston ke saath bahar ja raha hoon,I am going out with my friends today,
97,Kya tum apna kaam pura kar chuke ho?,Have you completed your work?,
98,Usne mujhse kabhi burai nahi ki,She never said anything bad to me,
99,Mujhe aapki bahut yaad aati hai,I miss you a lot,
100,Tumne apna kaam kar liya?,Did you do your work?,
101,Main aaj kuch aur karne wala tha,I was going to do something else today,
102,Usne mujhe kabhi maaf nahi kiya,He never forgave me,
103,Tum bahut achche ho,You are very good,
104,Mujhe uske baare mei kisi bhi cheez ke baare mei malum nahi hai,I don't know anything about him,
105,Wo bahut acchi ladki hai,She is a very good girl,
106,Tumhare liye main kuch bhi kar sakta hoon,I can do anything for you,
107,Main tumse baat karna chahta hoon,I want to talk to you,
108,Usne mujhe bahut pareshaan kiya tha,She had troubled me a lot,
109,Main aaj ghar nahi aaunga,I will not come home today,
110,Tumhari aankhein bahut khoobsurat hain,Your eyes are very beautiful,
111,Wo bahut jaldi apna kaam khatam kar leta hai,He finishes his work very quickly,
112,Mujhe tumhari bahut yaad aati hai,I miss you a lot,
113,Usne mujhse kabhi baat nahi ki,He never talked to me,
114,Tum bahut gussa karte ho,You get very angry,
115,Main usse kabhi bhul nahi sakta,I can never forget him,
116,Wo mujhe bahut yaad aata hai,I miss him a lot,
117,Uski aankhein bahut sundar hai,His eyes are very beautiful,
118,Mujhe pata chal gaya tha ki tum aaoge,I knew that you would come,
119,Tumne mujhe bahut pyaar diya hai,You have given me a lot of love,
120,Wo mujhse bahut acche se baat kar leta hai,He talks to me very well,
121,Tum mujhse baat karke mujhe bahut khushi dete ho,You make me very happy by talking to me,
122,Main aaj office mei busy hoon,I am busy at the office today,
123,Usne mujhe bahut achche se samjhaya tha,He had explained it very well to me,
124,Tumne mujhse kya chhupaya hai?,What have you hidden from me?,
125,Wo bahut sadharan aadmi hai,He is a very ordinary man,
126,Mujhe cricket khelne ka bahut shauk hai,I have a great passion for playing cricket,
127,Tumne kabhi mujhe phone kyun nahi kiya?,Why have you never called me?,
128,Main sabko chor deti hoon,I leave everything to everyone,
129,Usne mujhse kabhi bewafai nahi ki,She never betrayed me,
130,Tum mujhe bahut miss karte ho,You miss me a lot,
131,Wo bahut jaldi apna kaam shuru kar deta hai,He starts his work very quickly,
132,Mujhe tumhari bahut yaad aati hai,I miss you a lot,
133,Usne mujhe kabhi apna haath nahi diya,She never gave me her hand,
134,Tum bahut jaldi ghabra jaate ho,You get worried very quickly,
135,Main usse bahut pyaar karta hoon,I love her a lot,
136,Uski aawaz bahut khoobsurat hai,Her voice is very beautiful,
137,Tum mere liye bahut important ho,You are very important to me,
138,Main aaj college nahi jaa raha hoon,I am not going to college today,
139,Tumhari aankhon mei bahut khushi hai,There is a lot of happiness in your eyes,
140,Usko bahut bhook lagi hai,He is very hungry,
141,Main uske saath bahut achcha behave karta hoon,I behave very well with him,
142,Tumhara phone number kya hai?,What is your phone number?,
143,Usne mujhse bahut pyaar kiya hai,She has loved me a lot,
144,Wo mujhe bahut miss karta hai,He misses me a lot,
145,Tum meri bahut help karte ho,You help me a lot,
146,Main aaj bahut thak gaya hoon,I am very tired today,
147,Uske pasand ke gaane mujhe bahut pasand hai,I like his favorite songs very much,
148,Tumne mere liye kya kiya hai?,What have you done for me?,
149,Usne mujhe bahut khushi di hai,He has given me a lot of happiness,
150,Tumhe mere saath kaam karna chahiye,You should work with me,
151,Main usne kabhi dhoka nahi diya,I never betrayed her,
152,Wo mere liye bahut khaas hai,She is very special to me,
153,Mujhe tumhari bahut yaad aati hai,I miss you a lot,
154,Tum mere liye bahut achchi ho,You are very good for me,
155,Usne mujhse kabhi jhoot nahi bola,He never lied to me,
156,Tum mere liye bahut important ho,You are very important to me,
157,Main uske paas jakar usse sawal kiya,I went to him and asked him a question,
158,Usne mujhe apne baare mei kuch bataya,He told me something about himself,
159,Tumhe apne kaam mei bahut mehnat karni chahiye,You should work very hard in your work,
160,Mujhe bhook lagi hai,I am hungry,
161,Tumhara phone number kya hai?,What is your phone number?,
162,Usne mujhse kabhi galti nahi ki,He never made a mistake with me,
163,Tum apne kaam ko bahut seriously lete ho,You take your work very seriously,
164,Main usse kabhi bhul nahi sakta,I can never forget him,
165,Wo mujhse bahut accha behave karta hai,He behaves very well with me,
166,Tumhari aankhen bahut khoobsurat hai,Your eyes are very beautiful,
167,Usne mujhse kabhi baat nahi ki,She never talked to me,
168,Tum ye kaam bahut achcha karte ho,You do this work very well,
169,Main aaj apne doston ke saath bahar ja raha hoon,I am going out with my friends today,
170,Uske paas bahut kam samay hai,He has very little time,
171,Tum mere saath bahut achche se baat karte ho,You talk to me very well,
172,Mujhe tumhari bahut yaad aati hai,I miss you a lot,
173,Tum bahut khush naseeb ho,You are very lucky,
174,Uski aankhein bahut sundar hai,Her eyes are very beautiful,
175,Main unke baare mei kuch nahi jaanta,I don't know anything about them,
176,Tum mujhse bahut pyaar karte ho,You love me very much,
177,Wo mere liye bahut khaas hai,He is very special to me,
178,Mujhe uski bahut yaad aati hai,I miss him a lot,
179,Tum mujhe bahut yaad aate ho,You miss me a lot,
180,Main aaj bahut khush hoon,I am very happy today,
181,Usne mujhe bahut pyaar diya hai,She has given me a lot of love,
182,Tum mere liye bahut important ho,You are very important to me,
183,Main usko bahut miss karta hoon,I miss him a lot,
184,Tumhe apna kaam bahut seriously lena chahiye,You should take your work very seriously,
185,Usne mujhe kabhi dhoka nahi diya,He never betrayed me,
186,Tum mere liye bahut achche ho,You are very good for me,
187,Usne mujhe bahut acche se samjhaya tha,He had explained it very well to me,
188,Mujhe aaj company mei kaam karna padh raha hai,Today I have to work in the company,
189,Tumhari aankhein bahut khoobsurat hain,Your eyes are very beautiful,
190,Wo bahut jaldi baat kar leta hai,He talks very quickly,
191,Usne mujhe kabhi harm nahi kiya hai,She has never harmed me,
192,Tum mujhe bahut yaad aate ho,You miss me a lot,
193,Main uske saath bahut khush hoon,I am very happy with him,
194,Usne mujhse kabhi baat nahi ki,She never talked to me,
195,Tum mere saath bahut acche se baat karte ho,You talk to me very well,
196,Main aaj bahut khush hu,I am very happy today,
197,Uski aankhein bahut sundar hai,His eyes are very beautiful,
198,Tumhe bahut achche se kaam karna chahi,You should work really well,
199,Mujhe yakeen hai ki tum safal hoge,I believe that you will be successful,
200,"Let's go for dinner, yaar!","Let's go for dinner, buddy!",
201,Aaj mausam bahut suhana hai,"Today, the weather is very pleasant",
202,I am thoda tired today,I am a little tired today,
203,Kya tumne movie dekhi?,Have you watched the movie?,
204,My favorite color hai blue,My favorite color is blue,
205,Mujhe ice cream pasand hai,I like ice cream,
206,Today's plan is kuch alag,Today's plan is different,
207,Tumhara sense of humor amazing hai,Your sense of humor is amazing,
208,Can you mujhe thoda help karo?,Can you help me a little?,
209,Tumhe pata hai ki kahaan hai party?,Do you know where the party is?,
210,Let's meet kal at the coffee shop,Let's meet tomorrow at the coffee shop,
211,Aaj ka din bahut special hai,Today is a very special day,
212,Tumne ye book padhi hai?,Have you read this book?,
213,Can you mujhe Hindi sikhao?,Can you teach me Hindi?,
214,Kya tumne shopping kiya?,Have you gone shopping?,
215,Mujhe samajh nahi aa raha hai,I don't understand,
216,This movie dekhni chahiye,This movie should be watched,
217,Aaj ka breakfast kitna tasty hai!,Today's breakfast is very tasty!,
218,Tumhe dance karna aata hai?,Can you dance?,
219,Mujhe tumhara idea pasand aaya,I liked your idea,
220,I am super excited for this trip,I am super excited for this trip,
221,Kya tumne abhi tak lunch nahi kiya?,Have you not had lunch yet?,
222,"Tumhe kuch chahiye, batao","Do you need anything, tell me",
223,Can you mujhe ek favor karoge?,Can you do me a favor?,
224,Today's weather bahut garmi hai,Today's weather is very hot,
225,"Tumhe kya chahiye, batao?","What do you need, tell me?",
226,I love spending time with friends,I love spending time with friends,
227,"Aaj raat ko party hai, are you coming?","There's a party tonight, are you coming?",
228,"Tumhe kuch samajh nahi aa raha hai, right?","You seem confused, right?",
229,Mujhe tumse ek secret share karna hai,I want to share a secret with you,
230,"Let's plan a movie night, what say?","Let's plan a movie night, what do you say?",
231,Tumne ye song suna hai?,Have you heard this song?,
232,"I am really bored, kuch karne ka idea hai?","I'm really bored, do you have any ideas for something to do?",
233,Tumhe kisi cheez ki zarurat hai?,Do you need something?,
234,This place bahut khoobsurat hai,This place is very beautiful,
235,"Tumne ye kitab padhi hai, kaisi lagi?",Where did you buy this book from?,
236,Mujhe tumse kuch important baat karni hai,I need to talk to you about something important,
237,Can you mujhe ek lift de do?,Can you give me a lift?,
238,Aaj ka din mujhe bahut khushi de raha hai,Today is giving me a lot of happiness,
239,Tumhara dress bahut sundar hai,Your dress is very beautiful,
240,I am feeling bahut energetic today,I'm feeling very energetic today,
241,"Tumne ye movie dekhi hai, worth watching?","Have you seen this movie, is it worth watching?",
242,Tumhara phone mujhe pasand aaya,I like your phone,
243,Let's plan a picnic with friends,Let's plan a picnic with friends,
244,Mujhe ye idea bahut accha lag raha hai,I really like this idea,
245,Tumne ye recipe try ki hai?,Have you tried this recipe?,
246,"I am really hungry, kuch khane ka plan hai?","I'm really hungry, any plans for eating?",
247,Tumhe ye gift pasand aaya?,Did you like the gift?,
248,Can you mujhe apna number dedo?,Can you give me your number?,
249,Mujhe tumhari help ki zarurat hai,I need your help,
250,"Let's go for a long drive, sounds fun!","Let's go for a long drive, sounds fun!",
251,Tumne ye book kahan se li?,Where did you watch this movie?,
252,"I am not feeling well, thoda rest lena hai","I'm not feeling well, I need some rest",
253,Tumhara smile bahut beautiful hai,Your smile is very beautiful,
254,Aaj ka din mere liye lucky hai,Today is a lucky day for me,
255,Tumne ye movie already dekhi hai?,Have you already watched this movie?,
256,Can you mujhe Hindi gaane sunao?,Can you play some Hindi songs for me?,
257,Mujhe ye jagah bahut pasand hai,I really like this place,
258,Let's plan a surprise party for him.,Let's plan a surprise party for him,
259,Tumne apna goal decide kiya hai?,Have you decided on your goal?,
260,I am really excited for this weekend,I'm really excited for this weekend,
261,Tumhara sense of style amazing hai,Your sense of style is amazing,
262,Mujhe ye perfume bahut pasand hai,I really like this perfume,
263,"Tumhe dance karna pasand hai, right?","Do you like dancing, right?",
264,Can you mujhe ek suggestion do?,Can you give me a suggestion?,
265,"Mujhe tumhari help chahiye, please","I need your help, please",
266,"Let's visit a new restaurant, try something new",Let's try a new restaurant and have something new,
267,Tumne ye movie kab dekhi?,When did you watch this movie?,
268,I am feeling really happy today,I'm feeling very happy today,
269,"Tumhe kuch samajh mei nahi aa raha hai, right?","You don't seem to understand anything, right?",
270,Mujhe tumse ek baat share karni hai,I want to share something with you,
271,Can you mujhe apna address batao?,Can you tell me your address?,
272,Aaj ka din mujhe bahut khushi de raha hai,Today is giving me a lot of happiness,
273,Tumhara dress mujhe bahut pasand aaya,I really like your dress,
274,I am feeling very energetic today,I'm feeling very energetic today,
275,"Tumne ye movie dekhi hai, kya worth watching hai?","Have you watched this movie, is it worth watching?",
276,Tumhara phone mujhe bahut pasand aaya,I really like your phone,
277,Let's plan a picnic with friends,Let's plan a picnic with friends,
278,Mujhe ye idea bahut accha lag raha hai,This idea is very much to my liking,
279,Tumne ye recipe try ki hai?,Have you tried this recipe?,
280,"I am really hungry, kuch khane ka plan hai?","I'm really hungry, any plans for eating?",
281,Tumhe ye gift pasand aaya?,Did you like the gift?,
282,Can you mujhe apna number dedo?,Can you give me your number?,
283,Mujhe tumhari help ki zarurat hai,I need your help,
284,"Let's go for a long drive, sounds fun!","Let's go for a long drive, sounds fun!",
285,Tumne ye book kahan se li?,Where did you buy this book from?,
286,"I am not feeling well, thoda rest lena hai","I'm not feeling well, I need some rest",
287,Tumhara smile bahut beautiful hai,Your smile is very beautiful,
288,Aaj ka din mere liye lucky hai,Today is a lucky day for me,
289,Tumne ye movie already dekhi hai?,Have you already watched this movie?,
290,Can you mujhe Hindi gaane sunao?,Can you play some Hindi songs for me?,
291,Mujhe ye jagah bahut pasand hai,I really like this place,
292,Let's plan a surprise party for him,Let's plan a surprise party for him,
293,Tumne apna goal decide kiya hai?,Have you decided on your goal?,
294,I am really excited for this weekend,I'm really excited for this weekend,
295,Tumhara sense of style amazing hai,Your sense of style is amazing,
296,Mujhe ye perfume bahut pasand hai,I really like this perfume,
297,"Tumhe dance karna pasand hai, right?","Do you like dancing, right?",
298,Can you mujhe ek suggestion do?,Can you give me a suggestion?,
299,"Mujhe tumhari help chahiye, please","I need your help, please",
300,"Let's visit a new restaurant, try something new",Let's try a new restaurant and have something new,
301,Tumne ye movie kab dekhi?,When did you watch this movie?,
302,I am feeling really happy today,I'm feeling very happy today,
303,"Tumhe kuch samajh mei nahi aa raha hai, right?","You don't seem to understand anything, right?",
304,Mujhe tumse ek baat share karni hai,I want to share something with you,
305,Can you mujhe apna address batao?,Can you tell me your address?,
306,Aaj ka din mujhe bahut khushi de raha hai,Today is giving me a lot of happiness,
307,Tumhara dress mujhe bahut pasand aaya,I really like your dress,
308,I am feeling very energetic today,I'm feeling very energetic today,
309,"Tumne ye movie dekhi hai, kya worth watching hai?","Have you watched this movie, is it worth watching?",
310,Tumhara phone mujhe bahut pasand aaya,I really like your phone,
311,Let's plan a picnic with friends,Let's plan a picnic with friends,
312,Mujhe ye idea bahut accha lag raha hai,I really like this idea,
313,Tumne ye recipe try ki hai?,Have you tried this recipe?,
314,"I am really hungry, kuch khane ka plan hai?","I'm really hungry, any plans for eating?",
315,Tumhe ye gift pasand aaya?,Did you like the gift?,
316,Can you mujhe apna number dedo?,Can you give me your number?,
317,Mujhe tumhari help ki zarurat hai,I need your help,
318,"Let's go for a long drive, sounds fun!","Let's go for a long drive, sounds fun!",
319,Mai kal subah gym jaunga,I will go to the gym tomorrow morning,
320,Tumhare kapde bade sundar hain,Your clothes are very beautiful,
321,Usne mujhse baat ki,She talked to me,
322,Mai aaj office jaldi ja raha hu,I am going to the office early today,
323,Wo apni maa ke saath hai,She is with her mother,
324,Ye mere notes hai,These are my notes,
325,Tum kab aaoge?,When will you come?,
326,Usne apna kaam pura kiya,He completed his work,
327,Mai abhi kuch nahi boluga,I will not say anything now,
328,Wo mujhse baat hi nahi karta,He doesn't even talk to me,
329,Mai bhi tumhare saath chalta hu,I will also go with you,
330,Hum log abhi tak khana nahi khaye hai,We have not eaten anything yet,
331,Usne kuch bhi nahi bataya,She did not tell anything,
332,Tum kaise ho?,How are you?,
333,Wo hum logon ke saath tha,He was with us,
334,Mai abhi free nahi hu,I am not free now,
335,Uski shakal bahut pyari hai,She is very beautiful,
336,Tumhare paas kitne paise hai,How much money do you have?,
337,Wo hamesha late aata hai,He always comes late,
338,Mai kya khaunga?,What will I eat?,
339,Usne apni kitab khodi,She dug her book,
340,Tumne mujhe yaad kiya,Did you remember me?,
341,Bahut dhoop hai,It's very sunny,
342,Wo sab kuch bhool chuka hai,He has forgotten everything,
343,Mai waha baithunga,I will sit there,
344,Tum kya baat kar rahe ho?,What are you talking about?,
345,Uske paas bahut saare dost hai,She has lots of friends,
346,Hum log bahut thake huwe hai,We are very tired,
347,Wo tumhare daddy hai,He is your father,
348,Mai tumhara bohot dhanyavad karta hu,I thank you very much,
349,Tumne mujhe bahut khushi di,You have given me a lot of happiness,
350,Usne apni maa ke haath ka khaana khaya,He ate the food made by his mother,
351,Mai film dekhne ja raha hu,I am going to watch a movie,
352,Tum kal kya kar rahe ho?,What are you doing tomorrow?,
353,Wo bahut intelligent hai,He is very intelligent,
354,Hum bazaar jane wale hai,We are going to the market,
355,Uske kapde bade hi purane hai,His clothes are very old,
356,Mai tumhare papa se milna chahta hu,I want to meet your father,
357,Tum kya kar rahe ho?,What are you doing?,
358,Usne aankhein band kar li,She closed her eyes,
359,Wo bahut jaldi ja raha hai,He is going very fast,
360,Mai tumhara wait kar raha hu,I am waiting for you,
361,Tum mere nahi ho,You are not mine,
362,Usne koi javab nahi diya,She did not give any answer,
363,Hum log ghar jaa rahe hai,We are going home,
364,Wo mujhe pasand nahi hai,I don't like him/her,
365,Mai bahut kamjor hu,I am very weak,
366,Tumhe mujhse koi dushmani hai?,Do you have any enmity with me?,
367,Usne pehnaai hui saree bahut sundar lag rahi hai,She looks very beautiful in the worn saree,
368,Mai kahin bahar ghoomne ja raha hu,I am going out to roam somewhere,
369,Tumhare paas samay hai kya?,Do you have time?,
370,Usne apne chashme se uska chehra dekh rahi thi,She was looking at his face through her glasses,
371,Wo bahut kush hai,He is very happy,
372,Mai ajeeb sa mehsoos kar raha hu,I am feeling strange,
373,Tumhari aankhein kaise hai?,How are your eyes?,
374,Uski zindagi bahut kharaab hai,His/her life is very bad,
375,Mai tumhe kabhi nahi bhulunga,I will never forget you,
376,Wo jaldi se chala gaya,He went away quickly,
377,Tumne mujhe hansaya,You made me laugh,
378,Usne apne dost se baat ki,He talked to his friend,
379,Mai thoda sa dar gaya tha,I was a little scared,
380,Tum kya sochte ho?,What do you think?,
381,Usne apni jeb se paise nikale,He took out money from his pocket,
382,Wo bahut accha gana ga leta hai,He sings very well,
383,Mai kal subah jaldi uthta hu,I wake up early tomorrow morning,
384,Tumhe meri baat pasand hai?,Do you like what I say?,
385,Usne mujhe dekha hi nahi,He did not even see me,
386,Wo apni biwi ke saath hai,He is with his wife,
387,Ye tumhara phone hai,This is your phone,
388,Tum kabhi nahi sudharoge,You will never improve,
389,Usne apne dost ke liye gift khareeda,She bought a gift for her friend,
390,Mai bhookha nahi hu,I am not hungry,
391,Tum aaj kaha jaoge?,Where are you going today?,
392,Usne apne paon dhoye,He washed his feet,
393,Wo hamesha ghar se der se nikalta hai,He always leaves home late,
394,Mai kya karunga?,What will I do?,
395,Uski ankhein bohot pyari hai,Her eyes are very beautiful,
396,Tumhare pasand ke liye kuch bana raha hu,I am making something for your liking,
397,Usne kuch bhi nahi suna,He did not hear anything,
398,Tumhare paas kitni books hai?,How many books do you have?,
399,Wo bahut hi dhyan se sun raha tha,He was listening very carefully,
400,Mai waha ja kar milunga,I will go there and meet,
401,Tum kya kar rahe ho?,What are you doing?,
402,Uske paas bahut saare sapne hai,He has lots of dreams,
403,Hum log bahut khush hai,We are very happy,
404,Wo tumhare bade bhai hai,He is your elder brother,
405,Mai tumhara bohot abhari hu,I am very grateful to you,
406,Tumne mujhe bahut accha gift diya,You have given me a very good gift,
407,Usne apni maa ke haath ka nashta khaya,He ate breakfast made by his mother,
408,Mai kaam se thak gaya hu,I am tired of work,
409,Tum kab aana chahte ho?,When do you want to come?,
410,Usne apni kitab kholi,He opened his book,
411,Tum kaisa mehsoos kar rahe ho?,How are you feeling?,
412,Uska chehra bilkul bhi nahi pasand hai,I don't like her/his face at all,
413,Hum abhi bazaar se wapas aa rahe hai,We are coming back from the market,
414,Wo mujhse naraz hai,He is angry with me,
415,Mai bahut ghabra raha hu,I am very nervous,
416,Tum mujhe kabhi nahi bhuloge,You will never forget me,
417,Usne apne pairo par khade hokar baat ki,He talked while standing on his feet,
418,Mai kal tumse milunga,I will meet you tomorrow,
419,Tumhe kaise pata chala?,How did you come to know?,
420,Usne apni saari kitaabein ghar pe hi rakhi hai,She kept all her books at home,
421,Wo bahut accha insaan hai,He is a very good person,
422,Mai bahut thake huwe hu,I am very tired,
423,Tum mere ho,You are mine,
424,Usne koi khushi mehsus nahi ki,He did not feel any happiness,
425,Hum log bazaar jane wale hai,We are going to the market,
426,Wo mujhe bahut pasand hai,I like him/her very much,
427,Mai aur tumhara saath dene ko tayyar hu,I am ready to accompany you,
428,Tum usse kuchh bhi pooch sakte ho,You can ask him/her anything,
429,Usne apni zindagi hi bekar kar diya,She ruined her own life,
430,Mai bahut khush hu ki tum aaye,I am very happy that you came,
431,Usne mujhe bahut der tak dekha,He looked at me for a long time,
432,Tum kaha se aaye ho?,Where are you coming from?,
433,Usne apne dost ko samjhaya,She explained to her friend,
434,Wo bahut kush tha,She was very happy,
435,Mai bhi tumhare saath jaunga,I will also go with you,
436,Tum mujhe bahut bura laga diya,You made me feel very bad,
437,Usne mujhe daant di,She scolded me,
438,Mai bhool hi gaya tha,I had forgotten,
439,Main tumse pyaar karta hoon,I love you,
440,Aaj kaane mein kya hai?,What's for dinner today?,
441,Mujhe thoda sa paani chahiye,I need a little water,
442,Tumhe kaisa lagta hai?,How do you feel?,
443,Mera dost aaj aayega,My friend will come today,
444,Tumne apna kaam khatam kiya?,Have you finished your work?,
445,Main kal college jaa raha hoon,I am going to college tomorrow,
446,Tumne mujhe kyun nahi bulaya?,Why didn't you call me?,
447,Kya tumne mera phone dekha hai?,Have you seen my phone?,
448,Kya tumhe yeh pata hai?,Do you know this?,
449,Tum kahan se ho?,Where are you from?,
450,Mujhe tumse baat karni hai,I want to talk to you,
451,Tumhara phone baj raha hai,Your phone is ringing,
452,Kya tumne ye kaam kiya hai?,Have you done this work?,
453,Badi mushkil se yeh kaam ho paya,It was difficult to complete this work,
454,Yeh kitne baje hai?,What time is it?,
455,Tumhe kuchh chai/chaii chahiye?,Do you want some tea?,
456,Main yeh nahi kar sakta,I can't do this,
457,Mujhe vo pustak pasand hai,I like that book,
458,Tumne mujhe pareshan kiya hai,You have troubled me,
459,Main kal der se utunga,I will wake up late tomorrow,
460,Tumne kya khaaya?,What did you eat?,
461,Mujhe ghadi pe nazar rakhna hoga,I will have to keep an eye on the clock,
462,Tum kab aaoge?,When will you come?,
463,Main tumse naraaz hoon,I am angry with you,
464,Tumne bada kaam kiya hai,You have done a great job,
465,Main tumhe kabhi nahi bhoolunga,I will never forget you,
466,Tumne mujhe ghar bulaya hai,You have invited me to your house,
467,Yeh kitne paise ka hai?,How much does this cost?,
468,Tumhe ye pustak kahaan mili?,Where did you get this book from?,
469,Vo kal nahi aa payega,He won't be able to come tomorrow,
470,Tumne bahut accha kaam kiya hai,You have done a very good job,
471,Main tumhari madad karunga,I will help you,
472,Aaj meri tabiyat kharaab hai,I am not feeling well today,
473,Tumhe kuchh khana hai?,Do you want something to eat?,
474,Kya tumne mujhe yaad kiya?,Did you remember me?,
475,Tumhara phone silent pe hai,Your phone is on silent,
476,Main shayad late ho jaaunga,I might get late,
477,Tum kal jaroor aaoge,You will definitely come tomorrow,
478,Tumne mere sapne dekhe hai,You have seen my dreams,
479,Main kal office nahi jaaunga,I will not go to office tomorrow,
480,Tumhari aankhein kitni khoobsoorat hai,Your eyes are very beautiful,
481,Main abhi aaya hoon,I have just come,
482,Kya tumne lunch kiya hai?,Have you had lunch?,
483,Tumne meri madad ki hai,You have helped me,
484,Main tumhe kabhi nahi chhodoonga,I will never leave you,
485,Tumne kya decide kiya hai?,What have you decided?,
486,Maine yeh pustak padhi hai,I have read this book,
